,ID,gender_male,city,email_action
0,AF575B85-917F-475D-8875-00055586E05B,0,NA,
1,229A9B43-3A15-4A48-8CB6-000EDB240D50,0,NA,
2,C6606486-05A8-4437-ACF9-00344E54FEE1,0,NA,
3,6ED86154-A688-4A11-868F-006209035413,-1,NA,
4,46C41E20-EA56-4698-9C37-00692FD6FFE8,-1,NA,
5,8CBFF8AB-3153-473A-BE84-0079B873EA33,1,NA,2022-07-18 17:36:39
6,20AC64AC-190E-4091-8D2E-00832BED87C5,-1,NA,2022-07-18 16:29:53
7,0E516427-6B84-4268-AB70-009E9E1FD026,0,NA,
8,3845EBA8-054E-465D-98CE-00A2758E3F92,0,NA,
9,530A44DC-46A2-48E6-962F-00A67997F7A1,-1,NA,2022-07-18 16:29:50
10,2EC1E87A-DF2C-4760-AF4E-00E940E59E6D,-1,NA,2022-07-18 16:29:52
11,82A7E23E-B559-40FA-801B-00EE04CCE9EF,-1,брянск,
12,3C3A3B7E-A2CB-4FFA-8848-0106194827F5,-1,истра,2022-07-22 15:16:38
13,B188DAC8-8AAE-4EDF-B866-010783F52A74,1,NA,
14,6804382D-6181-4812-A52F-01150241458A,0,NA,
15,B2821E3B-E0C6-47CF-8113-01176D970A33,0,NA,
16,4EA40ADD-7791-472B-9043-01190CA2FED9,-1,NA,2022-07-27 14:07:10
17,1D4B5766-2722-4057-97CE-012300EB344F,0,NA,
18,E1DCB8D9-154F-45F0-9F9B-012376C2DC6E,0,NA,
19,21D05216-E258-4561-A9EB-014AC64706F0,0,NA,
20,61B490C8-D05F-4756-9C02-01530FE2C3ED,0,NA,
21,1ABD0FB8-DAF8-4207-A557-01574DF5D178,0,NA,
22,0A19C883-1C1E-4CD0-967F-019CAF86CF55,0,NA,
23,BE1DE04D-0A61-4F94-9C66-01CE0F10303F,0,NA,
24,F35C2677-0148-462A-8ABD-01EF46C4B205,-1,NA,2022-07-18 16:29:30
25,0A65D038-A32D-48CA-9A07-01FEEA6AC863,1,москва,2022-07-18 17:13:41
26,FC1EB8BD-B30F-47A8-B347-0200183861D8,-1,NA,
27,79BB43FB-F9A4-4C76-8251-021F22ED0A8F,1,NA,
28,51DDEEC5-B06F-4B42-A881-024DB9058473,0,NA,
29,4BE8249E-76F4-47D7-88D8-024DCC200272,0,NA,
30,AFFAD73E-06BE-443A-AFF3-0255FA83BC94,0,NA,
31,F552BC40-48F4-4860-99F1-025C6BE85C36,-1,NA,2022-07-18 16:29:48
32,7B84F4E1-C8D6-4D51-852B-0283E34E121A,-1,NA,2022-07-18 16:29:54
33,9F1310F9-523F-4759-A6FA-02946C3BDCBD,-1,NA,2022-07-18 16:29:48
34,2BAD2195-4413-4AF2-B560-02BDD461E141,0,NA,
