iter	Passed	Remaining
0	4	8127
1	6	6010
2	7	5010
3	9	4870
4	11	4660
5	13	4500
6	17	4987
7	21	5436
8	26	5770
9	29	5793
10	32	5924
11	36	6003
12	38	5952
13	41	5861
14	43	5809
15	46	5803
16	50	5875
17	52	5811
18	55	5820
19	58	5798
20	61	5801
21	64	5813
22	67	5800
23	69	5735
24	72	5694
25	74	5648
26	77	5649
27	79	5607
28	82	5623
29	85	5644
30	88	5631
31	91	5654
32	93	5557
33	95	5498
34	96	5395
35	98	5371
36	100	5305
37	101	5252
38	102	5178
39	104	5123
40	105	5053
41	106	4976
42	107	4911
43	109	4864
44	110	4804
45	112	4775
46	113	4735
47	115	4708
48	118	4731
49	120	4709
50	123	4720
51	125	4715
52	127	4675
53	130	4698
54	132	4679
55	133	4646
56	135	4614
57	138	4624
58	139	4581
59	140	4543
60	141	4513
61	143	4479
62	146	4503
63	148	4480
64	149	4454
65	152	4468
66	153	4436
67	155	4407
68	156	4374
69	157	4339
70	158	4308
71	161	4314
72	163	4304
73	164	4282
74	165	4258
75	168	4273
76	170	4261
77	171	4228
78	173	4208
79	175	4214
80	177	4201
81	179	4193
82	180	4174
83	182	4155
84	185	4168
85	187	4163
86	189	4174
87	192	4187
88	196	4217
89	199	4238
90	203	4265
91	205	4255
92	208	4266
93	211	4279
94	213	4275
95	215	4274
96	216	4254
97	218	4231
98	219	4212
99	220	4193
100	223	4202
101	225	4189
102	226	4175
103	228	4161
104	231	4170
105	232	4157
106	234	4142
107	235	4131
108	238	4137
109	240	4125
110	241	4110
111	243	4100
112	246	4108
113	247	4096
114	249	4084
115	250	4073
116	253	4076
117	255	4067
118	256	4053
119	259	4068
120	262	4071
121	263	4057
122	265	4050
123	267	4043
124	269	4044
125	271	4032
126	272	4023
127	274	4012
128	276	4013
129	277	3994
130	279	3984
131	280	3974
132	282	3967
133	284	3967
134	286	3958
135	288	3947
136	290	3952
137	292	3943
138	293	3930
139	295	3919
140	296	3908
141	298	3904
142	299	3894
143	301	3885
144	302	3873
145	304	3865
146	306	3857
147	307	3848
148	309	3839
149	310	3831
150	312	3824
151	313	3814
152	315	3803
153	316	3796
154	318	3788
155	320	3785
156	321	3779
157	323	3772
158	324	3762
159	326	3757
160	328	3749
161	329	3742
162	331	3736
163	332	3727
164	335	3731
165	337	3724
166	338	3712
167	339	3701
168	340	3690
169	341	3680
170	344	3679
171	345	3670
172	346	3661
173	348	3654
174	349	3645
175	350	3637
176	351	3624
177	353	3616
178	355	3616
179	356	3609
180	358	3600
181	359	3594
182	361	3588
183	362	3580
184	364	3572
185	365	3569
186	367	3563
187	369	3557
188	370	3551
189	372	3544
190	373	3537
191	375	3532
192	376	3524
193	378	3520
194	379	3515
195	381	3512
196	383	3508
197	384	3503
198	386	3494
199	388	3493
200	389	3487
201	391	3486
202	393	3482
203	394	3476
204	396	3468
205	397	3461
206	399	3458
207	401	3457
208	402	3451
209	404	3446
210	405	3440
211	406	3432
212	408	3425
213	409	3419
214	411	3414
215	412	3409
216	414	3404
217	415	3398
218	418	3402
219	421	3406
220	423	3412
221	426	3414
222	429	3419
223	431	3423
224	434	3424
225	436	3426
226	439	3432
227	440	3426
228	442	3422
229	444	3420
230	446	3415
231	447	3410
232	450	3413
233	452	3417
234	455	3423
