iter	RMSE
0	37938.26111
1	37914.87606
2	37893.73444
3	37877.13851
4	37860.89842
5	37845.06956
6	37825.40746
7	37810.50446
8	37792.34578
9	37778.18044
10	37764.26573
11	37750.58545
12	37734.15581
13	37717.88575
14	37705.19272
15	37692.67239
16	37679.84379
17	37667.90166
18	37656.31506
19	37644.96052
20	37633.75342
21	37622.84877
22	37612.06676
23	37601.56883
24	37589.09492
25	37579.06224
26	37569.13472
27	37559.4176
28	37552.97061
29	37543.62046
30	37534.44445
31	37525.43715
32	37516.52743
33	37507.8397
34	37499.02859
35	37490.65583
36	37487.15822
37	37477.80554
38	37470.1692
39	37462.24147
40	37453.11518
41	37445.55533
42	37438.02702
43	37430.72393
44	37424.73039
45	37417.63017
46	37410.68157
47	37403.84987
48	37399.58225
49	37392.94231
50	37386.36789
51	37384.08389
52	37377.55886
53	37371.28934
54	37365.01676
55	37358.89684
56	37352.79447
57	37348.55083
58	37342.70056
59	37337.00347
60	37331.26747
61	37325.74282
62	37320.31915
63	37314.98569
64	37309.72761
65	37304.5633
66	37299.45438
67	37294.46072
68	37294.37903
69	37289.46567
70	37284.5901
71	37279.83278
72	37275.15504
73	37270.54558
74	37268.99316
75	37263.97231
76	37259.55963
77	37255.09084
78	37250.81142
79	37246.60433
80	37242.14156
81	37238.06698
82	37233.74735
83	37229.79894
84	37225.91351
85	37222.09066
86	37218.32292
87	37214.61898
88	37210.97053
89	37209.8768
90	37206.26559
91	37202.74618
92	37199.28843
93	37198.31782
94	37194.93204
95	37192.62762
96	37189.33193
97	37188.91837
98	37185.45171
99	37182.27235
100	37179.13574
101	37176.05493
102	37173.01931
103	37169.81874
104	37167.59157
105	37167.55336
106	37164.64076
107	37164.62284
108	37161.74673
109	37158.92947
110	37158.9059
111	37156.12785
112	37153.39775
113	37153.2592
114	37150.57411
115	37147.92962
116	37145.32147
117	37145.30461
118	37142.73736
119	37142.72869
120	37140.20263
121	37139.32025
122	37136.83827
123	37136.83082
124	37134.32742
125	37131.92313
126	37131.59471
127	37127.91144
128	37125.58439
129	37124.32998
130	37124.23658
131	37124.22745
132	37121.87316
133	37119.61822
134	37117.41964
135	37117.15307
136	37091.20064
137	37089.06243
138	37086.9572
139	37084.92151
140	37082.86188
141	37080.83443
142	37080.81907
143	37080.81182
144	37078.83454
145	37078.59145
146	37076.61218
147	37074.67917
148	37072.77638
149	37069.32175
150	37069.31784
151	37069.30409
152	37069.08101
153	37067.26014
154	37067.25085
155	37065.45715
156	37060.30064
157	37058.53508
158	37057.64955
159	37055.86619
160	37051.59297
161	37049.83806
162	37048.82572
163	37047.85067
164	37043.82632
165	37042.83181
166	37039.00375
167	37038.15336
168	37036.50467
169	37036.49741
170	37034.87933
171	37033.28029
172	37028.08374
173	37026.51135
174	37024.93233
175	37024.16475
176	37022.63926
177	37021.9019
178	37020.41714
179	37019.7029
180	37016.26137
181	37016.06389
182	37015.39191
183	37013.94275
184	37012.48139
185	37010.03352
186	37007.73674
187	36990.91209
188	36989.53231
189	36988.23651
190	36987.57933
191	36971.97297
192	36970.6233
193	36970.01239
194	36968.65784
195	36945.92339
196	36944.78844
197	36941.05934
198	36940.75902
199	36938.10934
200	36936.83945
201	36935.45759
202	36935.4404
203	36934.19022
204	36932.95451
205	36931.74377
206	36929.68044
207	36929.10581
208	36927.91061
209	36926.73682
210	36926.73084
211	36926.72505
212	36925.49866
213	36924.52852
214	36924.01544
215	36902.91899
216	36901.81052
217	36901.79487
218	36899.83509
219	36896.40101
220	36876.63294
221	36876.49847
222	36876.45846
223	36857.83402
224	36855.27368
225	36851.00096
226	36850.80973
227	36850.57252
228	36849.41414
229	36847.0396
230	36846.90622
231	36844.12818
232	36843.39204
233	36835.27896
234	36834.14772
235	36834.12617
236	36834.10255
237	36833.27992
238	36832.21657
239	36832.11027
240	36830.13305
241	36829.92571
242	36827.48704
243	36825.64009
244	36817.95038
245	36817.94539
246	36816.29905
247	36814.72517
248	36812.48416
249	36808.30916
250	36808.29446
251	36806.84735
252	36790.74076
253	36775.56039
254	36775.52445
255	36768.03128
256	36767.35658
257	36767.13716
258	36767.05399
259	36764.91413
260	36764.90096
