iter	Passed	Remaining
0	3	6191
1	4	4873
2	6	4612
3	9	4520
4	10	4141
5	12	4096
6	13	3916
7	15	3879
8	17	3838
9	18	3728
10	21	3797
11	22	3721
12	23	3657
13	25	3588
14	26	3497
15	27	3431
16	29	3463
17	31	3420
18	32	3415
19	34	3408
20	36	3413
21	37	3377
22	39	3369
23	40	3344
24	41	3288
25	42	3264
26	44	3233
27	45	3196
28	46	3162
29	48	3161
30	50	3187
31	51	3177
32	52	3153
33	54	3147
34	55	3126
35	57	3115
36	59	3133
37	60	3119
38	61	3113
39	63	3110
40	64	3099
41	66	3084
42	67	3066
43	68	3059
44	71	3102
45	72	3094
46	75	3125
47	76	3124
48	78	3121
49	79	3118
50	81	3101
51	82	3080
52	83	3075
53	85	3078
54	86	3076
55	88	3072
56	89	3063
57	91	3054
58	92	3037
59	93	3027
60	95	3043
61	97	3053
62	99	3050
63	100	3041
64	101	3034
65	103	3029
66	105	3030
67	106	3029
68	108	3033
69	109	3029
70	111	3021
71	112	3007
72	113	2999
73	115	2993
74	116	2990
75	117	2986
76	119	2982
77	120	2971
78	122	2967
79	123	2965
80	125	2963
81	128	3015
82	131	3036
83	133	3041
84	134	3030
85	136	3029
86	137	3016
87	138	3013
88	140	3012
89	142	3023
90	143	3010
91	144	3006
92	146	3003
93	147	2999
94	149	2990
95	150	2991
96	152	2989
97	153	2987
98	155	2992
99	157	2987
100	158	2985
101	160	2993
102	162	2994
103	163	2986
104	165	2985
105	167	2985
106	168	2982
107	170	2979
108	171	2983
109	174	2993
110	175	2992
111	177	2997
112	179	2989
113	180	2991
114	182	2986
115	183	2984
116	185	2984
117	187	2987
118	189	3000
119	192	3013
120	194	3018
121	197	3037
122	199	3048
123	202	3064
124	205	3084
125	208	3100
126	211	3118
127	214	3140
128	216	3139
129	217	3133
130	219	3131
131	221	3132
132	224	3154
133	226	3160
134	230	3189
135	233	3195
136	234	3192
137	236	3195
138	238	3188
139	239	3181
140	241	3178
141	242	3170
142	243	3162
143	245	3165
144	247	3160
145	248	3154
146	250	3152
147	251	3146
148	252	3140
149	254	3134
150	255	3129
151	257	3125
152	258	3120
153	259	3116
154	261	3115
155	263	3115
156	265	3112
157	266	3108
158	268	3104
159	269	3103
160	271	3098
