iter	RMSE
0	38010.09488
1	37986.94786
2	37965.95717
3	37949.49476
4	37929.65385
5	37913.94762
6	37894.57252
7	37879.86456
8	37861.98766
9	37847.9906
10	37831.09665
11	37817.64629
12	37801.66803
13	37786.17786
14	37773.6858
15	37761.31493
16	37748.61807
17	37736.77915
18	37725.37847
19	37714.204
20	37700.98225
21	37690.29617
22	37679.35785
23	37669.07276
24	37657.05364
25	37647.21134
26	37637.39315
27	37627.88306
28	37621.53675
29	37612.35708
30	37603.34669
31	37594.50056
32	37585.81517
33	37577.27598
34	37568.58466
35	37560.35699
36	37556.99665
37	37547.73638
38	37540.38486
39	37532.645
40	37523.82754
41	37516.385
42	37507.89359
43	37500.70475
44	37495.47004
45	37487.53523
46	37480.70544
47	37473.99311
48	37469.73841
49	37463.21094
50	37456.74394
51	37454.53286
52	37448.25998
53	37442.09094
54	37436.01258
55	37429.98081
56	37424.11088
57	37423.59686
58	37417.83009
59	37412.15749
60	37406.57713
61	37401.07965
62	37395.67752
63	37390.36379
64	37385.12896
65	37379.98129
66	37374.83055
67	37369.85301
68	37369.47967
69	37364.58141
70	37359.73688
71	37354.99324
72	37350.32968
73	37345.73592
74	37345.6027
75	37340.67272
76	37336.24467
77	37331.88563
78	37327.59481
79	37323.37217
80	37319.16501
81	37315.07426
82	37310.74583
83	37306.51212
84	37302.6225
85	37298.79228
86	37298.43341
87	37294.66003
88	37290.94351
89	37289.76841
90	37286.1055
91	37282.5294
92	37279.00976
93	37277.94134
94	37274.49356
95	37272.03001
96	37268.67308
97	37268.35189
98	37264.9063
99	37261.56362
100	37258.3746
101	37258.33812
102	37255.19609
103	37251.89608
104	37249.88695
105	37249.85397
106	37246.84006
107	37246.80769
108	37243.82765
109	37240.90645
110	37240.88484
111	37238.00851
112	37235.17667
113	37234.88772
114	37232.09689
115	37229.3516
116	37226.62187
117	37226.60747
118	37223.95636
119	37223.68644
120	37221.06904
121	37220.89681
122	37218.31901
123	37218.31253
124	37215.76786
125	37213.26836
126	37213.01082
127	37209.30459
128	37209.05147
129	37207.32344
130	37207.26057
131	37207.25126
132	37204.78069
133	37202.40721
134	37200.17377
135	37200.01365
136	37192.13651
137	37189.85146
138	37187.59236
139	37187.36522
140	37185.13517
141	37182.94576
142	37182.93238
143	37182.92515
144	37180.77626
145	37180.63238
146	37178.49094
147	37174.83209
148	37172.73088
149	37169.18474
150	37169.18164
151	37169.16981
152	37169.01048
153	37167.03403
154	37167.02617
155	37165.07952
156	37160.14504
157	37158.74434
158	37156.60147
159	37154.85815
160	37152.99694
161	37152.99065
162	37152.07917
163	37150.14839
164	37148.34518
165	37148.33444
166	37146.35472
167	37146.34981
168	37146.34649
169	37146.34463
170	37144.78239
171	37142.67114
172	37142.65244
173	37140.95461
174	37139.48739
175	37139.29032
176	37137.86473
177	37136.93728
178	37135.31191
179	37132.21293
180	37130.6254
181	37130.44742
182	37130.26432
183	37128.69003
184	37127.38607
185	37124.05143
186	37122.44515
187	37120.95003
188	37119.47735
189	37117.8028
190	37117.63184
191	37116.71748
192	37115.89482
193	37108.63284
194	37107.84247
195	37106.41031
196	37106.40129
197	37104.97013
198	37104.96706
199	37103.66407
200	37103.51201
201	37095.78042
202	37095.63725
203	37094.49304
204	37093.3846
205	37092.03254
206	37090.78406
207	37090.69036
208	37089.63303
209	37088.58132
210	37088.48356
211	37088.46886
212	37087.16872
213	37086.19042
214	37086.0535
215	37079.33007
216	37078.05974
217	37078.05032
218	37075.96615
219	37071.3361
220	37065.01126
221	37064.91437
222	37064.86026
223	37058.90147
224	37057.84423
225	37056.59902
226	37056.53556
227	37055.30079
228	37055.22697
229	37054.29029
230	37049.99199
231	37047.58299
232	37045.23697
233	37044.08684
234	37038.48562
235	37038.31073
236	37038.24239
237	37037.42949
238	37036.11048
239	37035.98634
240	37034.50729
241	37034.0674
242	37030.07822
243	37029.19192
244	37028.1978
245	37027.07673
246	37027.03164
247	37025.92552
248	37022.19165
249	37022.12776
250	37021.77638
251	37020.66657
252	37019.71489
253	37014.45211
254	37014.4317
255	37010.90777
256	37007.58157
257	37007.46686
258	37004.21437
259	37004.04372
260	37000.99103
261	37000.77073
262	36999.95098
263	36998.87172
