iter	Passed	Remaining
0	5	11396
1	9	9091
2	11	7823
3	14	7249
4	18	7383
5	21	7183
6	25	7130
7	28	7011
8	30	6794
9	33	6726
10	36	6514
11	38	6456
12	41	6372
13	44	6278
14	47	6232
15	48	6071
16	50	5913
17	52	5751
18	54	5643
19	55	5514
20	57	5426
21	59	5306
22	59	5155
23	60	5016
24	62	4914
25	63	4844
26	65	4764
27	66	4708
28	68	4629
29	69	4553
30	70	4484
31	71	4409
32	73	4354
33	74	4287
34	75	4237
35	76	4168
36	77	4125
37	79	4094
38	80	4052
39	82	4023
40	83	3998
41	85	3972
42	87	3964
43	88	3939
44	89	3901
45	91	3877
46	92	3852
47	93	3821
48	95	3798
49	96	3781
50	98	3749
51	99	3732
52	101	3714
53	102	3696
54	103	3663
55	104	3640
56	106	3626
57	107	3614
58	109	3601
59	110	3579
60	111	3549
61	112	3529
62	114	3523
63	115	3502
64	117	3493
65	118	3483
66	120	3490
67	122	3479
68	123	3467
69	125	3460
70	127	3450
71	128	3440
72	130	3432
73	131	3420
74	132	3410
75	134	3401
76	135	3391
77	137	3386
78	138	3376
79	140	3366
80	141	3357
81	142	3342
82	144	3330
83	146	3336
84	147	3325
85	148	3310
86	149	3294
87	150	3277
88	152	3273
89	153	3263
90	155	3254
91	156	3251
92	158	3246
93	159	3231
94	160	3223
95	162	3220
96	163	3217
97	165	3214
98	166	3206
99	168	3199
100	169	3188
101	171	3186
102	172	3180
103	173	3171
104	175	3164
105	176	3151
106	177	3148
107	179	3144
108	181	3140
109	183	3150
110	186	3170
111	189	3189
112	192	3207
113	194	3218
114	197	3234
115	200	3254
116	202	3266
117	204	3257
118	205	3252
119	208	3271
120	211	3279
121	213	3289
122	215	3293
123	217	3290
124	218	3281
125	220	3275
126	221	3266
127	223	3262
128	224	3259
129	226	3254
130	227	3249
131	229	3241
132	230	3237
133	232	3232
134	233	3228
135	235	3225
136	239	3254
137	242	3271
138	245	3286
139	247	3283
140	248	3275
141	250	3275
142	251	3269
143	253	3262
144	254	3257
145	257	3268
146	259	3270
147	261	3266
148	262	3259
149	264	3256
150	265	3248
151	266	3240
152	267	3234
153	269	3232
154	271	3226
155	272	3220
156	274	3217
157	276	3222
158	277	3218
159	279	3213
160	280	3205
161	282	3199
162	283	3195
163	285	3192
164	286	3187
165	288	3183
166	289	3180
167	291	3175
168	292	3170
169	294	3165
170	296	3169
171	297	3165
172	299	3162
173	300	3155
174	301	3149
175	303	3142
176	304	3137
177	306	3134
178	307	3131
179	309	3128
180	310	3124
181	312	3119
182	313	3115
183	315	3116
184	317	3113
185	319	3111
186	320	3107
187	321	3103
188	323	3099
189	325	3099
190	327	3099
191	328	3096
192	330	3094
193	332	3092
194	333	3088
195	334	3081
196	336	3079
197	337	3075
198	339	3072
199	340	3067
200	342	3063
201	344	3063
202	345	3060
203	347	3057
204	348	3051
205	349	3047
206	351	3044
207	353	3041
208	354	3034
209	355	3033
210	357	3030
211	358	3025
212	360	3022
213	361	3018
214	363	3016
215	364	3012
216	366	3008
217	367	3005
218	369	3001
219	370	2996
220	371	2990
221	372	2986
222	374	2983
223	375	2980
224	377	2977
225	378	2974
226	380	2972
227	382	2969
228	383	2968
229	385	2965
230	386	2959
231	387	2953
232	388	2947
233	389	2942
234	391	2938
235	392	2934
236	393	2929
237	394	2924
238	396	2921
239	398	2919
240	400	2922
241	402	2921
242	403	2916
243	404	2913
244	406	2914
245	408	2911
246	409	2908
247	411	2906
248	412	2903
249	414	2900
250	415	2896
251	416	2891
252	418	2890
253	420	2887
254	421	2884
255	422	2880
256	423	2875
257	425	2872
258	426	2869
259	428	2868
260	429	2863
261	431	2861
262	432	2857
263	434	2856
264	435	2853
265	437	2851
266	438	2847
267	440	2844
268	441	2841
269	443	2839
270	444	2836
271	445	2831
272	447	2829
273	448	2826
274	450	2824
275	451	2820
276	453	2818
277	454	2814
278	455	2810
279	457	2808
280	458	2806
281	461	2808
282	462	2808
283	464	2804
284	466	2804
285	467	2801
286	468	2797
287	470	2794
288	471	2793
289	473	2792
290	475	2791
291	477	2790
292	478	2787
293	479	2782
294	481	2781
295	482	2779
296	484	2776
297	485	2775
298	487	2773
299	489	2772
300	490	2771
301	492	2770
302	494	2767
303	495	2762
304	496	2761
305	498	2758
306	499	2756
307	501	2753
308	502	2749
309	503	2747
310	505	2746
311	506	2742
312	508	2740
313	509	2735
314	510	2732
315	512	2729
316	513	2728
317	516	2732
318	518	2733
319	521	2735
320	522	2733
321	524	2731
322	525	2729
323	527	2726
324	528	2725
325	531	2727
326	532	2722
327	533	2720
328	535	2720
